Full Name,Abbreviation,League,Mascot,City
Philadelphia Phillies,PHI,MLB,Phillies,Philadelphia
Pittsburgh Pirates,PIT,MLB,Pirates,Pittsburgh
San Diego Padres,SD,MLB,Padres,San Diego
San Francisco Giants,SF,MLB,Giants,San Francisco
Seattle Mariners,SEA,MLB,Mariners,Seattle
St. Louis Cardinals,STL,MLB,Cardinals,St. Louis
Tampa Bay Rays,TB,MLB,Rays,Tampa Bay
Texas Rangers,TEX,MLB,Rangers,Texas
Toronto Blue Jays,TOR,MLB,Jays,Toronto Blue
Washington Nationals,WSH,MLB,Nationals,Washington
